CATEGORIA;centro_costo;fecha; monto_presupuestado ;version_presupuesto
Activo Fijo;MKT001;01-11-2025; 2.397.012 ;Forecast Q2
Administración;TEC002;01-10-2025; 2.577.361 ;Forecast Q1
Personal;TEC002;01-04-2025; 4.272.092 ;Budget
Activo Fijo;TI999;01-03-2025; 2.006.627 ;Budget
Administración;TEC002;01-09-2025; 1.128.111 ;Forecast Q2
Personal;  TEC001;01-01-2025; 3.657.595 ;Forecast Q2
AF;OPE001;01-11-2025; 1.700.840 ;Forecast Q2
Personal;OPE001;01-10-2025; 4.713.568 ;Budget
Administración;MKT002;01-08-2025; 1.322.652 ;Forecast Q1
Personal;OPE001;01-09-2025; 5.698.323 ;Forecast Q1
Activo Fijo;TEC002;01-12-2025; 1.014.091 ;Forecast Q1
Administración;MKT002;01-04-2025; 1.810.692 ;Forecast Q2
Personal;MKT001;01-07-2025; 5.647.686 ;Budget
Administración;TEC001;01-03-2025;2895742;Forecast Q1
Administración;TEC001;01-05-2025;1514004;Forecast Q2
Personal;TEC002;01-02-2025;4296257;Forecast Q2
Activo Fijo;TEC001;01-03-2025; 2.223.234 ;Budget
Personal;TEC002;01-04-2025; 4.818.724 ;Forecast Q2
Administración;MKT002;01-10-2025; 2.778.852 ;Budget
Personal;TEC002;01-05-2025; 5.209.489 ;Forecast Q2
Activo Fijo;INM003;01-10-2025; 1.370.891 ;Budget
Activo Fijo;MKT001   ;01-12-2025; 2.441.830 ;Forecast Q2
Administración;INM003;01-05-2025; 2.506.289 ;Budget
Activo Fijo;MKT001;01-04-2025; 2.428.578 ;Forecast Q2
Personal;TEC002;01-02-2025; 5.197.949 ;Budget
Administración;INM003;01-07-2025; 1.487.815 ;Forecast Q1
Personal;MKT001;01-02-2025; 3.503.238 ;Budget
Administración;OPE001;01-05-2025; 2.526.325 ;Forecast Q1
Personal;OPE001;01-10-2025; 4.517.789 ;Forecast Q2
Activo Fijo;INM003;01-12-2025; 609.232 ;Budget
AF;INM003;01-07-2025; 618.643 ;Forecast Q1
Administración;MKT002;01-02-2025; 2.700.778 ;Budget
Activo Fijo;TEC002;01-03-2025; 2.098.720 ;Budget
Administración;MKT001;01-07-2025; 2.592.205 ;Forecast Q2
Personal;MKT002;01-12-2025; 5.332.952 ;Forecast Q1
Personal;MK0123;01-05-2025; 5.691.543 ;Forecast Q2
Administración;MKT001   ;01-11-2025; 2.253.300 ;Forecast Q1
Activo Fijo;OPE001;01-07-2025; 1.485.090 ;Budget
Administración;MKT001;01-11-2025; 1.331.507 ;Budget
Administración;MKT001;01-03-2025; 2.396.655 ;Budget
Administración;MKT001;01-10-2025; 1.975.731 ;Forecast Q1
Administración;OPE001;01-03-2025; 2.928.219 ;Budget
Personal;INM003;01-04-2025; 4.722.904 ;Budget
Administración;TEC001;01-08-2025; 1.877.460 ;Forecast Q2
Personal;OPE001;01-09-2025; 3.185.145 ;Forecast Q2
Personal;TEC001;01-06-2025; 3.306.742 ;Forecast Q1
Activo Fijo;INM003;01-07-2025; 1.515.528 ;Forecast Q1
Activo Fijo;MKT001;01-01-2025; 1.525.038 ;Forecast Q2
Personal;MKT002;01-08-2025; 4.037.591 ;Forecast Q2
Activo Fijo;OPE001;01-09-2025; 2.356.545 ;Budget
Activo Fijo;INM003;01-04-2025; 1.106.884 ;Forecast Q1
Activo Fijo;OPE001;01-12-2025; 2.096.681 ;Forecast Q2
Activo Fijo;INM003;01-07-2025; 1.785.599 ;Forecast Q2
Personal;OPE001;01-08-2025; 5.115.694 ;Forecast Q1
Activo Fijo;MKT001;01-05-2025; 1.410.527 ;Forecast Q1
AF;INM003;01-02-2025; 975.794 ;Forecast Q2
Personal;OPE001;01-07-2025; 5.645.278 ;Budget
Administración;MKT002;01-11-2025; 2.968.389 ;Forecast Q1
Administración;MKT002;01-12-2025; 1.554.869 ;Forecast Q1
Activo Fijo;INM003;01-05-2025; 1.199.680 ;Budget
Activo Fijo;TEC001;01-09-2025; 2.301.178 ;Forecast Q2
Administración;MKT001;01-10-2025; 1.889.397 ;Budget
Personal;TEC002;01-12-2025; 5.969.934 ;Forecast Q2
Activo Fijo;TEC002;01-08-2025; 2.043.478 ;Forecast Q1
Personal;INM003;01-08-2025; 4.326.764 ;Budget
Administración;INM003;01-03-2025; 1.504.781 ;Forecast Q1
Personal;INM003;01-10-2025; 4.900.995 ;Budget
Administración;TEC001;01-10-2025; 1.071.075 ;Forecast Q1
Activo Fijo;INM003;01-07-2025; 1.914.205 ;Budget
Personal;TEC002;01-11-2025; 5.213.082 ;Forecast Q1
Activo Fijo;MKT002;01-08-2025; 1.085.963 ;Forecast Q2
Activo Fijo;INM003;01-11-2025; 941.540 ;Forecast Q1
Administración;OPE001;01-11-2025; 2.174.326 ;Forecast Q1
Personal;TEC002;01-07-2025; 3.964.313 ;Forecast Q2
Administración;OPE001;01-08-2025; 2.856.727 ;Budget
Activo Fijo;INM003;01-06-2025; 1.847.563 ;Forecast Q1
Administración;TEC001;01-10-2025; 2.724.885 ;Forecast Q2
Personal;TEC001;01-09-2025; 5.806.783 ;Forecast Q2
Personal;TEC002;01-02-2025; 5.039.496 ;Budget
PERSONAL;INM003;01-01-2025; 5.122.699 ;Budget
Activo Fijo;OPE001;01-01-2025; 503.975 ;Budget
Personal;INM003;01-03-2025; 3.356.888 ;Forecast Q2
Activo Fijo;MKT002;01-02-2025; 1.565.794 ;Budget
Activo Fijo;OPE001;01-12-2025; 2.050.987 ;Budget
Administración;INM003;01-11-2025; 2.587.253 ;Forecast Q2
Administración;TEC002;01-04-2025; 1.818.801 ;Forecast Q1
Administración;TEC002;01-02-2025; 1.138.097 ;Budget
Administración;MKT002;01-05-2025; 2.768.585 ;Forecast Q2
Personal;TEC002;01-02-2025; 4.434.692 ;Forecast Q2
Administración;TEC001;01-05-2025; 2.837.037 ;Forecast Q2
Activo Fijo;OPE001;01-04-2025; 2.300.974 ;Budget
Administración;OPE001;01-10-2025; 2.033.569 ;Forecast Q2
Administración;MKT002;01-02-2025; 2.607.962 ;Budget
Personal;TEC001;01-05-2025; 4.475.569 ;Forecast Q2
Personal;TEC002;01-11-2025; 4.976.880 ;Forecast Q2
Administración;TEC001;01-06-2025; 2.464.673 ;Forecast Q1
Administración;TEC002;01-09-2025; 1.180.230 ;Forecast Q1
ADMIN;INM003;01-03-2025; 1.296.460 ;Budget
Administración;TEC001;01-05-2025; 2.302.154 ;Budget
Administración;MKT001;01-04-2025; 2.603.409 ;Budget
Activo Fijo;MKT002;01-09-2025; 2.466.376 ;Forecast Q2
Activo Fijo;TEC002;01-07-2025; 1.270.235 ;Budget
Personal;MKT001;01-08-2025; 4.816.458 ;Budget
Personal;INM003;01-06-2025; 4.011.671 ;Budget
Administración;INM003;01-09-2025; 1.655.750 ;Budget
Personal;TEC002;01-03-2025; 4.645.186 ;Budget
Personal;OPE001;01-03-2025; 5.610.985 ;Forecast Q1
Activo Fijo;MKT002;01-02-2025; 2.235.964 ;Budget
Personal;TEC001;01-08-2025; 3.831.915 ;Forecast Q2
Personal;TEC002;01-08-2025; 4.158.694 ;Budget
Administración;INM003;01-01-2025; 1.896.037 ;Forecast Q1
Activo Fijo;MKT002;01-10-2025; 1.772.870 ;Budget
Activo Fijo;TEC002;01-04-2025; 2.322.431 ;Budget
Activo Fijo;TEC001;01-11-2025; 2.173.507 ;Forecast Q2
Personal;MKT001;01-02-2025; 5.332.980 ;Forecast Q1
Administración;MKT002;01-11-2025; 1.653.704 ;Budget
Activo Fijo;INM003;01-06-2025; 1.212.201 ;Forecast Q2
Administración;OPE001;01-05-2025; 1.779.565 ;Budget
Personal;INM003;01-04-2025; 4.807.159 ;Forecast Q1
Administración;OPE001;01-12-2025; 1.115.575 ;Budget
Administración;MKT001;01-12-2025; 1.827.359 ;Forecast Q2
Administración;OPE001;01-01-2025; 2.974.575 ;Forecast Q2
Personal;TEC002;01-05-2025; 5.935.346 ;Budget
Activo Fijo;MKT002;01-04-2025; 735.053 ;Budget
Administración;OPE001;01-07-2025; 1.637.784 ;Forecast Q2
Personal;MKT002;01-03-2025; 4.985.838 ;Budget
Personal;MKT001;01-04-2025; 3.028.228 ;Forecast Q2
Activo Fijo;TEC001;01-02-2025; 877.889 ;Forecast Q2
Activo Fijo;TEC001;01-02-2025; 1.985.267 ;Budget
Personal;TEC001;01-04-2025; 3.130.753 ;Forecast Q1
Administración;TEC001;01-06-2025; 2.631.379 ;Budget
Activo Fijo;TEC002;01-04-2025; 1.936.458 ;Forecast Q1
Administración;MKT002;01-04-2025; 1.898.376 ;Forecast Q1
Administración;TEC001;01-11-2025; 2.612.755 ;Budget
Activo Fijo;MKT001;01-05-2025; 1.834.998 ;Forecast Q1
Activo Fijo;MKT001;01-09-2025; 876.313 ;Forecast Q2
Administración;TEC001;01-03-2025; 2.836.879 ;Budget
Activo Fijo;MKT001;01-07-2025; 2.495.414 ;Forecast Q2
Personal;TEC002;01-01-2025; 4.750.519 ;Forecast Q2
Personal;TEC002;01-08-2025; 3.103.203 ;Budget
Personal;TEC001;01-07-2025; 5.833.680 ;Budget
Activo Fijo;INM003;01-10-2025; 831.374 ;Forecast Q1
Administración;MKT002;01-08-2025; 2.459.936 ;Forecast Q2
Activo Fijo;MKT001;01-09-2025; 717.121 ;Forecast Q2
Administración;MKT002;01-04-2025; 1.390.092 ;Budget
Activo Fijo;TEC001;01-07-2025; 1.225.003 ;Forecast Q2
Activo Fijo;MKT001;01-05-2025; 1.633.832 ;Budget
Activo Fijo;TEC001;01-10-2025; 2.111.122 ;Forecast Q2
Personal;TEC001;01-01-2025; 3.101.477 ;Forecast Q1
Personal;MKT001;01-04-2025; 5.275.180 ;Budget
Personal;MKT001;01-03-2025; 3.675.797 ;Forecast Q1
Administración;TEC001;01-01-2025; 2.500.178 ;Forecast Q2
Administración;MKT001;01-05-2025; 2.318.739 ;Forecast Q2
Personal;TEC002;01-07-2025; 5.761.765 ;Forecast Q2
Personal;MKT002;01-11-2025; 4.358.785 ;Forecast Q1
Activo Fijo;MKT002;01-05-2025; 1.941.290 ;Budget
Personal;TEC001;01-05-2025; 3.296.095 ;Forecast Q2
Activo Fijo;TEC002;01-09-2025; 844.799 ;Forecast Q2
Activo Fijo;TEC002;01-01-2025; 1.299.825 ;Budget
Activo Fijo;MKT001;01-02-2025; 1.157.695 ;Forecast Q2
Personal;MKT001;01-04-2025; 5.741.678 ;Forecast Q2
Personal;OPE001;01-05-2025; 3.786.805 ;Budget
Administración;MKT001;01-09-2025; 2.668.020 ;Forecast Q2
Administración;OPE001;01-10-2025; 1.524.821 ;Budget
Personal;TEC001;01-02-2025; 3.033.516 ;Forecast Q2
Activo Fijo;MKT001;01-08-2025; 2.002.580 ;Budget
Activo Fijo;TEC001;01-09-2025; 1.403.154 ;Forecast Q1
Activo Fijo;MKT002;01-11-2025; 735.114 ;Budget
Personal;TEC002;01-12-2025;5822929;Forecast Q1
Administración;TEC001;01-08-2025;2387736;Forecast Q2
Administración;OPE001;01-02-2025; 1.032.614 ;Budget
Activo Fijo;TEC001;01-04-2025; 2.304.969 ;Forecast Q1
Administración;OPE001;01-02-2025; 2.778.294 ;Budget
Administración;TEC002;01-08-2025; 2.009.843 ;Forecast Q1
Activo Fijo;MKT001;01-04-2025; 2.070.347 ;Budget
Personal;MKT001;01-03-2025; 5.043.241 ;Budget
Administración;MKT001;01-09-2025; 1.169.760 ;Forecast Q2
Personal;INM003;01-07-2025; 4.847.078 ;Budget
Personal;INM003;01-12-2025; 4.325.076 ;Forecast Q1
Activo Fijo;TEC002;01-01-2025; 1.652.513 ;Forecast Q2
Activo Fijo;OPE001;01-01-2025; 1.769.523 ;Budget
Personal;MKT001;01-12-2025; 4.820.880 ;Forecast Q1
Personal;TEC002;01-11-2025; 5.627.410 ;Forecast Q1
Administración;MKT001;01-12-2025; 2.620.258 ;Forecast Q1
Personal;TEC001;01-12-2025; 5.645.920 ;Forecast Q1
Administración;TEC002;01-09-2025; 2.652.404 ;Forecast Q1
Administración;OPE001;01-10-2025; 1.697.499 ;Forecast Q2
Administración;TEC002;01-12-2025; 1.802.754 ;Forecast Q1
Activo Fijo;MKT001;01-09-2025; 2.076.410 ;Budget
Personal;MKT002;01-12-2025; 3.856.220 ;Forecast Q1
Activo Fijo;MKT002;01-07-2025; 2.025.830 ;Forecast Q2
Personal;MKT002;01-01-2025; 3.927.401 ;Forecast Q1
Personal;TEC002;01-04-2025; 3.246.786 ;Budget
Activo Fijo;TEC001;01-10-2025; 2.026.035 ;Budget
Activo Fijo;MKT002;01-02-2025; 1.889.261 ;Budget
Personal;OPE001;01-01-2025; 3.208.918 ;Budget
Activo Fijo;INM003;01-07-2025; 1.714.044 ;Budget
Personal;INM003;01-03-2025; 4.952.669 ;Forecast Q2
Activo Fijo;MKT001;01-04-2025; 1.486.779 ;Forecast Q1
Personal;INM003;01-11-2025; 4.805.648 ;Budget
Personal;TEC001;01-03-2025; 5.278.050 ;Forecast Q1
Personal;MKT001;01-11-2025; 5.057.998 ;Budget
Activo Fijo;INM003;01-02-2025; 2.141.788 ;Forecast Q1
Administración;MKT001;01-05-2025; 1.811.979 ;Forecast Q1
Administración;OPE001;01-03-2025; 2.791.678 ;Budget
Activo Fijo;MKT002;01-02-2025; 895.855 ;Budget
Administración;TEC001;01-07-2025; 1.264.653 ;Forecast Q2
Administración;MKT002;01-03-2025; 1.157.977 ;Forecast Q1
Activo Fijo;TEC001;01-06-2025; 539.176 ;Budget
Administración;OPE001;01-10-2025; 2.989.887 ;Forecast Q2
Personal;MKT001;01-12-2025; 5.524.471 ;Budget
Personal;INM003;01-06-2025; 3.718.461 ;Forecast Q2
Personal;MKT001;01-02-2025; 5.117.762 ;Forecast Q1
Administración;MKT001;01-12-2025; 1.720.556 ;Forecast Q2
Personal;TEC001;01-12-2025; 4.159.927 ;Forecast Q2
Administración;INM003;01-06-2025; 2.335.509 ;Budget
Administración;MKT002;01-02-2025; 1.449.481 ;Forecast Q1
Personal;OPE001;01-01-2025; 5.352.287 ;Forecast Q2
Personal;MKT001;01-09-2025; 5.374.494 ;Forecast Q2
Personal;INM003;01-07-2025; 4.440.221 ;Forecast Q2
Activo Fijo;INM003;01-05-2025; 2.423.130 ;Forecast Q2
Activo Fijo;INM003;01-12-2025; 882.487 ;Forecast Q1
Administración;TEC001;01-04-2025; 1.131.953 ;Forecast Q2
Activo Fijo;MKT001;01-02-2025; 1.975.704 ;Budget
Administración;INM003;01-07-2025; 1.320.165 ;Forecast Q2
Administración;TEC002;01-02-2025; 1.094.860 ;Forecast Q2
Administración;MKT001;01-10-2025; 1.462.911 ;Budget
Personal;TEC002;01-10-2025; 3.033.416 ;Budget
Personal;INM003;01-08-2025; 4.346.012 ;Budget
Personal;TEC002;01-10-2025; 5.860.303 ;Budget
Activo Fijo;TEC002;01-11-2025; 1.665.275 ;Forecast Q2
Personal;MKT002;01-04-2025; 5.306.059 ;Forecast Q2
Administración;TEC001;01-09-2025; 1.218.483 ;Forecast Q1
Administración;OPE001;01-10-2025; 1.199.653 ;Budget
Administración;TEC002;01-07-2025; 1.071.606 ;Forecast Q1
Personal;OPE001;01-06-2025; 4.416.714 ;Forecast Q1
Administración;INM003;01-06-2025; 1.393.223 ;Budget
Activo Fijo;OPE001;01-11-2025; 850.804 ;Forecast Q2
Personal;TEC002;01-09-2025; 5.465.080 ;Budget
Activo Fijo;TEC001;01-07-2025; 2.481.820 ;Forecast Q2
Personal;OPE001;01-05-2025; 5.012.890 ;Budget
Activo Fijo;INM003;01-11-2025; 571.774 ;Budget
Personal;MKT002;01-09-2025; 4.568.301 ;Budget
Administración;INM003;01-04-2025; 2.758.799 ;Forecast Q1
Activo Fijo;OPE001;01-11-2025; 1.581.166 ;Forecast Q1
Personal;TEC002;01-05-2025; 3.362.309 ;Budget
Activo Fijo;MKT001;01-06-2025; 638.078 ;Budget
Administración;INM003;01-10-2025; 2.393.437 ;Forecast Q1
Administración;OPE001;01-11-2025; 2.764.756 ;Forecast Q2
Administración;MKT002;01-08-2025; 2.561.796 ;Forecast Q2
Administración;TEC001;01-01-2025; 1.747.271 ;Budget
Activo Fijo;MKT002;01-07-2025; 1.659.939 ;Budget
Personal;OPE001;01-12-2025; 3.271.517 ;Budget
Personal;MKT-002;01-10-2025; 3.890.116 ;Budget
Activo Fijo;INM003;01-10-2025; 1.170.451 ;Forecast Q2
Personal;OPE001;01-01-2025; 4.217.483 ;Forecast Q1
Administración;INM003;01-11-2025; 1.897.178 ;Forecast Q1
Activo Fijo;INM003;01-05-2025; 2.237.576 ;Forecast Q2
Activo Fijo;INM003;01-10-2025; 997.307 ;Forecast Q2
Administración;TEC002;01-01-2025; 2.481.970 ;Forecast Q1
Personal;MKT002   ;01-09-2025; 5.935.799 ;Forecast Q1
Personal;MKT001;01-02-2025; 4.311.437 ;Forecast Q2
Personal;OPE001;01-11-2025; 5.938.350 ;Budget
Administración;MKT002;01-09-2025; 2.354.054 ;Forecast Q2
Administración;MKT002;01-04-2025; 1.767.740 ;Budget
Personal;TEC001;01-04-2025; 3.414.048 ;Forecast Q1
Administración;MKT002;01-08-2025; 2.556.490 ;Forecast Q1
Personal;MKT002;01-07-2025; 3.019.052 ;Forecast Q1
Administración;TEC002;01-02-2025; 1.605.204 ;Forecast Q2
Personal;MKT002;01-11-2025; 3.251.447 ;Forecast Q1
Activo Fijo;INM003;01-04-2025; 793.893 ;Forecast Q1
Personal;MKT002;01-05-2025; 5.134.207 ;Forecast Q2
Personal;INM003;01-06-2025; 5.530.675 ;Budget
Activo Fijo;TEC002;01-07-2025; 1.923.457 ;Budget
Administración;MKT002;01-04-2025; 2.751.778 ;Forecast Q2
Personal;TEC002;01-04-2025; 3.501.378 ;Forecast Q2
Personal;TEC001;01-12-2025; 5.520.977 ;Forecast Q2
Personal;INM003;01-07-2025; 3.419.834 ;Forecast Q1
Administración;TEC002;01-04-2025; 1.903.340 ;Budget
Administración;TEC002;01-04-2025; 1.718.277 ;Forecast Q2
Administración;TEC002;01-10-2025; 1.621.657 ;Budget
Activo Fijo;MKT002;01-05-2025; 1.322.887 ;Budget
Personal;MKT001;01-04-2025; 4.581.477 ;Forecast Q2
Activo Fijo;TEC001;01-04-2025; 2.229.356 ;Forecast Q1
Administración;MKT001;01-04-2025; 2.286.016 ;Budget
Administración;OPE001;01-04-2025; 1.071.281 ;Forecast Q2
Administración;TEC002;01-06-2025; 2.022.272 ;Forecast Q2
Activo Fijo;TEC001;01-10-2025; 1.069.872 ;Forecast Q2
Personal;INM003;01-02-2025; 3.903.667 ;Forecast Q2
Activo Fijo;MKT002;01-11-2025; 1.923.622 ;Forecast Q2
Personal;INM003;01-07-2025; 3.775.580 ;Forecast Q2
Administración;INM003;01-05-2025; 2.398.404 ;Forecast Q1
Personal;INM003;01-10-2025; 4.647.248 ;Budget
Activo Fijo;OPE001;01-04-2025; 972.144 ;Forecast Q1
Administración;TEC001;01-03-2025; 2.433.955 ;Budget
Activo Fijo;MKT002;01-05-2025; 1.635.212 ;Forecast Q1
Personal;MKT002;01-03-2025; 5.790.567 ;Forecast Q2
Administración;MKT001;01-10-2025; 2.921.006 ;Forecast Q2
Activo Fijo;TEC002;01-01-2025; 2.172.229 ;Budget
Personal;MKT002;01-12-2025; 5.080.331 ;Budget
Administración;MKT001;01-09-2025; 2.108.039 ;Forecast Q1
Administración;TEC001;01-09-2025; 2.921.549 ;Forecast Q2
Administración;INM003;01-08-2025; 1.245.595 ;Forecast Q1
Activo Fijo;MKT001;01-03-2025; 1.389.674 ;Forecast Q1
Administración;INM003;01-11-2025; 1.615.846 ;Forecast Q1
Personal;MKT002;01-07-2025; 5.474.731 ;Forecast Q1
Personal;OPE001;01-01-2025; 3.716.975 ;Budget
Administración;MKT002;01-08-2025; 1.930.715 ;Budget
Personal;TEC002;01-10-2025; 4.921.312 ;Budget
Administración;TEC-001;01-11-2025; 2.233.121 ;Forecast Q1
Administración;MKT001;01-08-2025; 2.344.783 ;Budget
Activo Fijo;TEC001;01-10-2025; 1.793.721 ;Forecast Q1
Activo Fijo;TEC002;01-08-2025; 1.042.803 ;Forecast Q1
Administración;MKT002;01-03-2025; 1.675.988 ;Forecast Q2
Activo Fijo;MKT002;01-10-2025; 1.804.648 ;Budget
Activo Fijo;MKT002;01-05-2025; 1.772.175 ;Forecast Q1
Administración;TEC002;01-04-2025; 2.581.457 ;Forecast Q2
Personal;MKT001;01-02-2025; 4.679.364 ;Forecast Q1
Administración;TEC001;01-10-2025; 1.970.023 ;Forecast Q1
Administración;INM003;01-07-2025; 1.998.548 ;Forecast Q1
Administración;MKT002;01-10-2025; 1.812.956 ;Forecast Q1
Administración;TEC002;01-04-2025; 2.761.641 ;Forecast Q1
Administración;TEC002;01-06-2025; 1.319.279 ;Budget
Personal;TEC1213;01-10-2025; 4.387.057 ;Forecast Q2
Administración;MKT001;01-02-2025; 2.874.470 ;Forecast Q2
Personal;MKT001;01-07-2025; 3.627.184 ;Forecast Q1
Administración;MKT001;01-05-2025; 2.023.855 ;Forecast Q2
Personal;INM003;01-04-2025; 3.664.887 ;Forecast Q1
Administración;MKT002;01-07-2025; 2.356.409 ;Budget
Administración;MKT002;01-09-2025; 1.163.724 ;Forecast Q2
Personal;OPE001;01-03-2025; 4.490.240 ;Budget
Personal;MKT002;01-10-2025; 4.606.141 ;Budget
Activo Fijo;INM003;01-07-2025; 1.529.854 ;Forecast Q2
