id_gasto;fecha;centro_costo;categoria;subcategoria; monto 
33;10-08-2025;TEC005;Personal;Sueldos; 4.224.190 
34;27-06-2025;MKT001;Administración;Arriendos; 886.547 
35;16-02-2025;INM003;Personal;Sueldos; 3.948.352 
36;16-09-2025;MKT005;Activo Fijo;Equipos; 445.477 
37;27-08-2025;TEC001;Personal;Bonos; 4.671.348 
38;14-09-2025;INM003;Activo Fijo;Equipos; 4.769.539 
39;03-09-2025;INM004;Activo Fijo;Equipos; 4.805.958 
40;25-04-2025;OPE001;Administración;Servicios; 2.850.198 
41;27-11-2025;TEC002;Activo Fijo;Equipos; 1.608.369 
42;15-09-2025;MKT005;Administración;Arriendos; 3.149.673 
43;25-05-2025;INM003;Personal;Bonos; 2.726.034 
44;02-11-2025;MKT003;Activo Fijo;Infraestructura; 2.768.486 
45;12-09-2025;MKT001;Administración;Servicios; 632.000 
46;11-07-2025;MKT001;Activo Fijo;Equipos; 4.314.433 
47;19-05-2025;TEC004;Personal;Bonos; 3.922.454 
48;22-01-2025;OPE003;Administración;Servicios; 3.251.044 
49;11-02-2025;TEC001;Administración;Servicios; 1.454.449 
50;06-07-2025;OPE003;Activo Fijo;Equipos; 1.822.345 
51;09-07-2025;OPE005;Personal;Sueldos; 4.847.699 
52;24-11-2025;OPE001;Administración;Servicios; 2.905.890 
53;28-04-2025;TEC003;Personal;Sueldos; 202.511 
54;09-01-2025;MKT004;Activo Fijo;Equipos; 4.020.439 
55;23-10-2025;TEC003;Personal;Sueldos; 4.361.353 
56;18-11-2025;INM003;Personal;Sueldos; 4.107.593 
57;20-12-2025;INM003;Activo Fijo;Equipos; 2.226.172 
58;13-11-2025;INM001;Activo Fijo;Equipos; 1.801.865 
59;12-08-2025;TEC002;Administración;Servicios; 4.636.838 
60;18-11-2025;TEC004;Personal;Bonos; 757.890 
61;08-04-2025;TEC004;Administración;Arriendos; 86.770 
62;14-02-2025;OPE004;Administración;Servicios; 4.721.326 
63;07-10-2025;TEC003;Personal;Sueldos; 3.911.395 
64;20-06-2025;MKT005;Personal;Bonos; 418.407 
65;06-01-2025;TEC004;Activo Fijo;Infraestructura; 4.971.890 
66;14-04-2025;MKT003;Activo Fijo;Equipos; 842.685 
67;25-10-2025;TEC004;Activo Fijo;Equipos; 3.444.131 
68;01-09-2025;MKT003;Activo Fijo;Infraestructura; 4.927.658 
69;12-04-2025;MKT001;Activo Fijo;Infraestructura; 3.346.939 
70;07-01-2025;INM004;Activo Fijo;Equipos; 62.391 
71;20-02-2025;INM001;Activo Fijo;Equipos; 3.075.231 
72;26-10-2025;TEC002;Administración;Servicios; 1.766.403 
73;24-01-2025;INM005;Activo Fijo;Infraestructura; 2.091.893 
74;26-03-2025;MKT005;Activo Fijo;Infraestructura; 2.366.064 
75;08-12-2025;INM004;Activo Fijo;Infraestructura; 294.539 
76;05-12-2025;MKT003;Administración;Arriendos; 1.577.526 
77;09-05-2025;TEC004;Administración;Arriendos; 1.326.105 
78;26-01-2025;TEC001;Activo Fijo;Infraestructura; 3.847.382 
79;06-04-2025;TEC004;Activo Fijo;Equipos; 3.398.066 
80;04-09-2025;TEC002;Personal;Sueldos; 4.583.443 
81;17-04-2025;TEC004;Administración;Arriendos; 3.421.186 
82;18-10-2025;OPE005;Administración;Arriendos; 4.635.174 
83;19-09-2025;MKT005;Personal;Bonos; 4.055.227 
84;18-10-2025;INM001;Administración;Servicios; 3.683.252 
85;27-01-2025;INM003;Activo Fijo;Equipos; 4.536.842 
86;01-06-2025;TEC001;Activo Fijo;Infraestructura; 54.500 
87;22-06-2025;INM002;Personal;Sueldos; 3.652.715 
88;26-06-2025;OPE002;Activo Fijo;Infraestructura; 3.927.283 
89;11-03-2025;OPE003;Activo Fijo;Infraestructura; 1.093.776 
90;23-09-2025;TEC003;Activo Fijo;Equipos; 2.830.613 
91;13-01-2025;MKT002;Administración;Arriendos; 4.232.091 
92;11-09-2025;TEC002;Personal;Sueldos; 4.262.358 
93;03-09-2025;OPE002;Personal;Sueldos; 159.785 
94;18-02-2025;OPE005;Activo Fijo;Infraestructura; 4.308.377 
95;24-07-2025;OPE002;Personal;Sueldos; 4.590.886 
96;21-01-2025;OPE005;Administración;Arriendos; 535.765 
97;13-07-2025;MKT004;Personal;Sueldos; 1.085.411 
98;27-01-2025;MKT005;Administración;Arriendos; 1.807.599 
99;21-12-2025;TEC001;Administración;Arriendos; 4.559.599 
100;14-03-2025;INM005;Personal;Bonos; 4.762.792 
101;19-03-2025;TEC003;Personal;Bonos; 2.968.627 
102;04-05-2025;OPE002;Personal;Sueldos; 2.960.559 
103;18-02-2025;OPE005;Activo Fijo;Infraestructura; 886.989 
104;11-08-2025;INM005;Administración;Arriendos; 3.611.504 
105;18-09-2025;OPE001;Activo Fijo;Infraestructura; 4.133.977 
106;01-04-2025;OPE002;Administración;Arriendos; 4.556.089 
107;21-11-2025;INM001;Administración;Arriendos; 2.014.497 
108;06-09-2025;OPE004;Personal;Bonos; 2.758.906 
109;19-08-2025;INM005;Personal;Bonos; 2.524.599 
110;01-01-2025;TEC002;Administración;Arriendos; 1.033.676 
111;28-09-2025;OPE001;Personal;Sueldos; 3.817.359 
112;10-06-2025;MKT004;Activo Fijo;Infraestructura; 1.094.843 
113;27-09-2025;OPE002;Personal;Bonos; 2.797.307 
114;24-11-2025;TEC001;Personal;Bonos; 699.350 
115;14-08-2025;TEC005;Personal;Sueldos; 1.046.734 
116;27-03-2025;OPE004;Activo Fijo;Infraestructura; 4.154.821 
117;26-05-2025;MKT003;Activo Fijo;Infraestructura; 2.940.424 
118;15-11-2025;OPE002;Administración;Servicios; 2.626.281 
119;27-05-2025;OPE001;Administración;Servicios; 3.602.237 
120;09-02-2025;TEC003;Activo Fijo;Infraestructura; 3.248.207 
121;06-09-2025;OPE003;Personal;Bonos; 1.291.414 
122;02-12-2025;INM001;Personal;Bonos; 1.992.914 
123;19-11-2025;MKT001;Personal;Sueldos; 3.703.291 
124;11-08-2025;TEC004;Activo Fijo;Infraestructura; 1.800.690 
125;03-11-2025;INM005;Personal;Bonos; 530.520 
126;16-12-2025;TEC004;Personal;Bonos; 436.700 
127;11-02-2025;INM002;Activo Fijo;Equipos; 4.114.500 
128;06-06-2025;INM004;Administración;Arriendos; 4.728.233 
129;19-01-2025;INM005;Administración;Servicios; 808.622 
130;04-11-2025;TEC001;Activo Fijo;Infraestructura; 4.899.825 
131;09-12-2025;OPE001;Administración;Servicios; 1.855.557 
132;14-08-2025;OPE002;Administración;Servicios; 2.973.681 
133;23-04-2025;OPE005;Activo Fijo;Equipos; 1.425.622 
134;03-01-2025;OPE004;Administración;Arriendos; 1.197.096 
135;12-03-2025;INM003;Activo Fijo;Infraestructura; 295.817 
136;18-01-2025;INM002;Administración;Servicios; 212.840 
137;14-11-2025;OPE005;Activo Fijo;Equipos; 4.664.268 
138;15-09-2025;OPE005;Activo Fijo;Equipos; 1.044.524 
139;17-04-2025;INM003;Personal;Bonos; 4.261.093 
140;22-01-2025;TEC003;Administración;Arriendos; 404.387 
141;10-08-2025;INM005;Administración;Servicios; 3.358.409 
142;28-09-2025;TEC004;Personal;Bonos; 3.897.073 
143;18-08-2025;INM005;Activo Fijo;Infraestructura; 2.114.665 
144;17-05-2025;MKT005;Personal;Bonos; 869.461 
145;07-08-2025;OPE005;Administración;Arriendos; 1.918.471 
146;14-06-2025;INM003;Administración;Arriendos; 1.159.524 
147;27-04-2025;TEC005;Activo Fijo;Equipos; 1.601.028 
148;10-02-2025;TEC001;Personal;Sueldos; 3.671.431 
149;07-08-2025;TEC004;Personal;Bonos; 188.362 
150;16-05-2025;MKT002;Activo Fijo;Equipos; 2.535.604 
151;18-10-2025;INM003;Activo Fijo;Infraestructura; 160.404 
152;16-03-2025;INM002;Administración;Servicios; 3.329.273 
153;03-10-2025;MKT004;Activo Fijo;Infraestructura; 4.101.152 
154;23-08-2025;INM005;Administración;Arriendos; 4.730.945 
155;16-08-2025;MKT002;Personal;Sueldos; 1.997.147 
156;21-02-2025;TEC002;Administración;Arriendos; 1.297.495 
157;18-10-2025;INM004;Administración;Servicios; 2.332.538 
158;21-07-2025;INM004;Activo Fijo;Equipos; 2.164.280 
159;23-06-2025;INM004;Administración;Arriendos; 4.542.095 
160;04-12-2025;OPE005;Administración;Servicios; 1.724.963 
161;28-02-2025;OPE004;Activo Fijo;Infraestructura; 2.204.474 
162;02-11-2025;MKT001;Administración;Arriendos; 2.084.436 
163;11-06-2025;INM004;Activo Fijo;Equipos; 548.690 
164;04-05-2025;TEC002;Personal;Sueldos; 1.019.042 
165;10-07-2025;TEC001;Activo Fijo;Infraestructura; 2.182.496 
166;28-05-2025;TEC002;Personal;Sueldos; 3.756.610 
167;13-07-2025;MKT001;Administración;Arriendos; 92.515 
168;10-05-2025;INM004;Administración;Servicios; 4.761.690 
169;15-12-2025;MKT003;Activo Fijo;Infraestructura; 3.426.913 
170;13-12-2025;INM002;Activo Fijo;Infraestructura; 1.604.404 
171;01-02-2025;MKT005;Administración;Arriendos; 2.249.399 
172;25-07-2025;TEC005;Administración;Arriendos; 4.222.143 
173;08-04-2025;TEC004;Activo Fijo;Infraestructura; 2.864.726 
174;13-04-2025;MKT005;Administración;Servicios; 4.718.853 
175;02-01-2025;OPE001;Administración;Arriendos; 274.055 
176;28-05-2025;INM002;Personal;Sueldos; 589.378 
177;07-12-2025;INM005;Personal;Sueldos; 2.912.319 
178;02-11-2025;INM005;Administración;Arriendos; 4.240.938 
179;25-04-2025;OPE005;Activo Fijo;Infraestructura; 3.349.098 
180;18-10-2025;INM003;Activo Fijo;Equipos; 339.003 
181;06-05-2025;MKT002;Personal;Bonos; 956.279 
182;15-07-2025;TEC001;Personal;Sueldos; 4.067.422 
183;25-10-2025;TEC003;Activo Fijo;Infraestructura; 3.719.883 
184;23-10-2025;OPE003;Personal;Bonos; 4.158.388 
185;17-06-2025;INM003;Personal;Bonos; 1.439.914 
186;08-03-2025;TEC001;Activo Fijo;Equipos; 4.425.885 
187;06-03-2025;MKT004;Administración;Servicios; 1.694.778 
188;11-04-2025;INM005;Personal;Sueldos; 4.221.205 
189;01-08-2025;INM004;Activo Fijo;Infraestructura; 2.721.808 
190;16-10-2025;INM002;Administración;Servicios; 3.664.745 
191;20-12-2025;MKT004;Personal;Bonos; 2.330.524 
192;27-12-2025;MKT002;Activo Fijo;Infraestructura; 3.250.452 
193;19-09-2025;MKT003;Administración;Servicios; 2.063.858 
194;06-03-2025;MKT005;Personal;Bonos; 3.794.166 
195;05-05-2025;INM004;Activo Fijo;Equipos; 2.254.831 
196;20-01-2025;INM001;Activo Fijo;Infraestructura; 536.720 
197;07-12-2025;MKT005;Activo Fijo;Infraestructura; 3.622.255 
198;05-08-2025;TEC001;Activo Fijo;Equipos; 1.400.897 
199;08-05-2025;MKT001;Personal;Bonos; 3.712.582 
200;09-09-2025;MKT001;Personal;Bonos; 2.188.026 
201;28-04-2025;MKT005;Activo Fijo;Infraestructura; 2.589.209 
202;04-03-2025;OPE004;Administración;Arriendos; 151.869 
203;13-08-2025;TEC005;Administración;Servicios; 3.154.200 
204;12-04-2025;MKT001;Personal;Sueldos; 1.056.785 
205;25-04-2025;TEC004;Administración;Servicios; 791.606 
206;14-08-2025;TEC001;Personal;Bonos; 213.086 
207;10-08-2025;MKT002;Personal;Bonos; 1.564.241 
208;22-04-2025;TEC003;Personal;Sueldos; 2.822.640 
209;26-02-2025;TEC001;Activo Fijo;Equipos; 3.101.770 
210;08-02-2025;INM005;Personal;Sueldos; 2.528.866 
211;23-09-2025;INM003;Personal;Sueldos; 2.803.315 
212;06-12-2025;TEC002;Personal;Bonos; 3.423.115 
213;22-10-2025;OPE001;Personal;Bonos; 915.796 
214;05-02-2025;TEC005;Activo Fijo;Equipos; 1.907.347 
215;05-06-2025;MKT004;Activo Fijo;Equipos; 4.330.695 
216;07-03-2025;TEC002;Personal;Bonos; 4.452.473 
217;07-12-2025;OPE004;Administración;Arriendos; 1.755.948 
218;21-07-2025;INM004;Activo Fijo;Equipos; 2.572.031 
219;16-11-2025;INM002;Activo Fijo;Equipos; 2.476.984 
220;25-01-2025;INM001;Personal;Sueldos; 1.604.994 
221;22-05-2025;MKT001;Administración;Arriendos; 4.789.714 
222;28-12-2025;OPE001;Personal;Sueldos; 3.429.876 
223;23-06-2025;TEC004;Administración;Arriendos; 4.755.062 
224;07-01-2025;INM004;Personal;Bonos; 1.833.933 
225;28-06-2025;MKT005;Personal;Sueldos; 3.045.102 
226;08-04-2025;MKT002;Activo Fijo;Equipos; 3.893.684 
227;14-09-2025;OPE004;Personal;Sueldos; 700.078 
228;25-07-2025;INM002;Administración;Arriendos; 633.082 
229;09-02-2025;TEC002;Administración;Arriendos; 2.724.380 
230;22-04-2025;MKT004;Personal;Sueldos; 2.404.670 
231;23-07-2025;INM002;Personal;Sueldos; 2.341.559 
232;19-09-2025;OPE005;Personal;Sueldos; 2.387.201 
233;11-01-2025;MKT001;Activo Fijo;Infraestructura; 3.537.045 
234;28-01-2025;MKT005;Administración;Arriendos; 2.653.228 
235;16-07-2025;TEC003;Activo Fijo;Equipos; 4.260.917 
236;09-02-2025;TEC001;Administración;Arriendos; 414.888 
237;11-11-2025;MKT003;Administración;Servicios; 4.768.126 
238;19-11-2025;OPE002;Personal;Bonos; 1.823.587 
239;22-03-2025;OPE005;Administración;Arriendos; 1.086.342 
240;24-09-2025;MKT001;Administración;Arriendos; 137.736 
241;07-09-2025;TEC005;Personal;Sueldos; 3.993.302 
242;04-02-2025;TEC001;Activo Fijo;Infraestructura; 3.852.136 
243;03-07-2025;MKT003;Activo Fijo;Equipos; 4.587.384 
244;04-04-2025;MKT004;Administración;Arriendos; 4.274.765 
245;24-12-2025;OPE001;Administración;Arriendos; 390.052 
246;03-04-2025;MKT003;Activo Fijo;Infraestructura; 1.437.413 
247;21-02-2025;MKT002;Activo Fijo;Infraestructura; 4.225.175 
248;18-06-2025;INM001;Personal;Sueldos; 1.311.808 
249;16-04-2025;MKT004;Personal;Bonos; 2.789.817 
250;28-05-2025;INM005;Activo Fijo;Equipos; 3.770.642 
251;05-08-2025;OPE002;Activo Fijo;Equipos; 1.106.068 
252;05-12-2025;MKT001;Administración;Arriendos; 3.189.736 
253;05-11-2025;MKT002;Activo Fijo;Infraestructura; 2.311.272 
254;01-01-2025;OPE003;Activo Fijo;Equipos; 3.556.798 
255;20-08-2025;OPE005;Administración;Arriendos; 3.715.901 
256;24-10-2025;MKT003;Activo Fijo;Equipos; 59.722 
257;19-05-2025;OPE002;Administración;Arriendos; 1.213.131 
258;07-03-2025;MKT002;Personal;Bonos; 1.241.236 
259;06-11-2025;MKT004;Administración;Servicios; 2.658.217 
260;09-11-2025;TEC005;Administración;Arriendos; 3.254.722 
261;11-07-2025;INM001;Personal;Bonos; 2.484.231 
262;10-09-2025;TEC001;Activo Fijo;Infraestructura; 2.548.478 
263;24-04-2025;TEC001;Personal;Bonos; 4.955.731 
264;08-11-2025;TEC002;Activo Fijo;Infraestructura; 1.749.831 
265;23-05-2025;OPE005;Administración;Arriendos; 3.689.429 
266;19-10-2025;OPE001;Activo Fijo;Equipos; 3.156.232 
267;14-04-2025;TEC001;Activo Fijo;Equipos; 2.225.539 
268;16-12-2025;OPE001;Administración;Arriendos; 4.742.390 
269;04-07-2025;MKT001;Personal;Sueldos; 3.134.114 
270;24-01-2025;INM005;Personal;Bonos; 1.467.364 
271;19-05-2025;INM003;Administración;Servicios; 4.820.652 
272;26-02-2025;TEC005;Activo Fijo;Equipos; 3.005.298 
273;02-08-2025;INM003;Administración;Servicios; 3.052.951 
274;18-09-2025;INM004;Activo Fijo;Infraestructura; 4.198.919 
275;24-10-2025;OPE003;Administración;Servicios; 4.648.227 
276;22-05-2025;MKT003;Activo Fijo;Equipos; 4.660.540 
277;09-08-2025;TEC004;Personal;Sueldos; 1.742.294 
278;25-09-2025;MKT003;Administración;Servicios; 1.623.044 
279;13-09-2025;INM001;Administración;Servicios; 1.603.937 
280;11-03-2025;INM001;Personal;Sueldos; 1.739.280 
281;02-08-2025;TEC002;Activo Fijo;Equipos; 1.539.175 
282;22-02-2025;TEC004;Administración;Servicios; 3.272.664 
283;02-03-2025;OPE002;Activo Fijo;Infraestructura; 3.888.311 
284;21-08-2025;INM001;Administración;Servicios; 4.836.282 
285;18-04-2025;OPE001;Administración;Arriendos; 2.742.927 
286;25-04-2025;TEC005;Administración;Servicios; 2.942.287 
287;16-03-2025;TEC004;Activo Fijo;Equipos; 4.961.292 
288;01-04-2025;TEC001;Activo Fijo;Equipos; 823.822 
289;19-03-2025;OPE002;Activo Fijo;Infraestructura; 298.661 
290;23-09-2025;TEC001;Activo Fijo;Equipos; 2.366.442 
291;19-08-2025;OPE004;Activo Fijo;Equipos; 2.169.698 
292;06-05-2025;TEC003;Personal;Sueldos; 3.076.677 
293;23-01-2025;OPE003;Personal;Sueldos; 2.988.257 
294;25-12-2025;TEC002;Administración;Arriendos; 1.880.626 
295;10-07-2025;OPE001;Personal;Sueldos; 320.170 
296;02-06-2025;TEC005;Personal;Sueldos; 4.270.947 
297;19-11-2025;INM005;Personal;Sueldos; 3.270.030 
298;25-04-2025;OPE004;Administración;Servicios; 269.720 
299;08-12-2025;INM003;Personal;Bonos; 4.712.071 
300;01-06-2025;INM003;Activo Fijo;Infraestructura; 1.534.669 
301;03-01-2025;INM003;Activo Fijo;Infraestructura; 743.183 
302;10-10-2025;TEC001;Personal;Bonos; 4.736.676 
303;04-08-2025;OPE002;Activo Fijo;Infraestructura; 4.897.537 
304;13-01-2025;OPE004;Activo Fijo;Equipos; 2.395.713 
305;12-08-2025;MKT001;Activo Fijo;Infraestructura; 4.222.174 
306;19-08-2025;OPE004;Administración;Arriendos; 1.953.540 
307;16-09-2025;MKT002;Activo Fijo;Infraestructura; 3.791.428 
308;05-09-2025;TEC004;Activo Fijo;Infraestructura; 4.926.806 
309;13-09-2025;MKT004;Activo Fijo;Infraestructura; 2.613.507 
310;08-07-2025;OPE004;Personal;Sueldos; 131.677 
311;16-02-2025;MKT003;Activo Fijo;Infraestructura; 517.087 
312;08-10-2025;INM004;Administración;Arriendos; 899.885 
313;17-04-2025;MKT002;Administración;Arriendos; 779.929 
314;11-10-2025;INM004;Administración;Servicios; 2.917.463 
315;23-01-2025;OPE003;Administración;Arriendos; 2.864.345 
316;06-01-2025;MKT005;Personal;Bonos; 2.849.868 
317;24-02-2025;TEC004;Administración;Servicios; 2.934.009 
318;02-07-2025;INM005;Administración;Arriendos; 4.863.890 
319;13-05-2025;TEC003;Activo Fijo;Equipos; 4.735.653 
320;12-09-2025;OPE003;Administración;Servicios; 4.105.675 
321;02-02-2025;TEC002;Activo Fijo;Equipos; 1.841.151 
322;14-07-2025;MKT001;Personal;Bonos; 1.277.911 
323;14-12-2025;OPE001;Personal;Sueldos; 3.472.300 
324;03-08-2025;MKT005;Personal;Bonos; 864.594 
325;09-05-2025;MKT003;Administración;Servicios; 4.841.890 
326;14-10-2025;OPE002;Activo Fijo;Infraestructura; 532.144 
327;15-04-2025;INM005;Activo Fijo;Equipos; 3.428.888 
328;05-07-2025;MKT003;Personal;Sueldos; 2.277.280 
329;03-06-2025;OPE002;Activo Fijo;Equipos; 712.107 
330;25-08-2025;MKT002;Activo Fijo;Infraestructura; 4.791.994 
331;25-10-2025;TEC001;Personal;Bonos; 1.951.185 
332;27-09-2025;TEC001;Personal;Bonos; 2.997.209 
333;25-11-2025;TEC005;Personal;Sueldos; 1.962.054 
334;24-06-2025;MKT002;Personal;Sueldos; 1.920.763 
335;21-01-2025;INM001;Administración;Arriendos; 2.614.081 
336;18-04-2025;TEC001;Activo Fijo;Equipos; 1.921.553 
337;13-09-2025;MKT004;Personal;Bonos; 4.669.977 
338;16-11-2025;INM005;Administración;Servicios; 4.937.253 
339;19-03-2025;TEC002;Activo Fijo;Infraestructura; 1.737.405 
340;15-04-2025;OPE005;Personal;Bonos; 3.091.303 
341;24-10-2025;TEC004;Administración;Arriendos; 2.953.066 
342;09-06-2025;OPE002;Administración;Arriendos; 1.665.771 
343;03-10-2025;OPE002;Personal;Bonos; 2.910.594 
344;27-02-2025;TEC002;Personal;Bonos; 919.091 
345;03-11-2025;OPE004;Activo Fijo;Infraestructura; 4.537.086 
346;24-01-2025;TEC003;Personal;Bonos; 2.695.346 
347;04-06-2025;INM002;Administración;Servicios; 4.482.203 
348;24-11-2025;INM002;Personal;Sueldos; 3.606.483 
349;25-07-2025;MKT005;Activo Fijo;Infraestructura; 4.523.085 
350;23-04-2025;MKT002;Activo Fijo;Infraestructura; 3.340.136 
351;06-09-2025;MKT005;Activo Fijo;Infraestructura; 1.555.725 
352;22-08-2025;OPE005;Activo Fijo;Equipos; 4.930.093 
353;14-06-2025;TEC004;Administración;Arriendos; 214.639 
354;24-05-2025;INM002;Personal;Sueldos; 2.507.775 
355;26-11-2025;OPE003;Administración;Arriendos; 295.794 
356;12-06-2025;MKT002;Administración;Arriendos; 1.538.537 
357;18-02-2025;MKT004;Personal;Bonos; 1.145.931 
358;11-06-2025;OPE005;Personal;Bonos; 2.137.943 
359;07-01-2025;TEC004;Activo Fijo;Infraestructura; 4.787.121 
360;03-10-2025;MKT004;Activo Fijo;Infraestructura; 4.558.526 
361;12-11-2025;MKT002;Activo Fijo;Infraestructura; 959.080 
362;25-02-2025;MKT003;Personal;Sueldos; 4.450.527 
363;22-02-2025;OPE004;Activo Fijo;Equipos; 2.726.859 
364;20-03-2025;INM003;Activo Fijo;Equipos; 1.425.964 
365;06-07-2025;OPE001;Activo Fijo;Equipos; 761.040 
366;22-06-2025;INM005;Personal;Sueldos; 328.800 
367;20-10-2025;OPE005;Personal;Bonos; 3.200.681 
368;01-03-2025;MKT003;Personal;Bonos; 4.787.386 
369;10-04-2025;INM003;Activo Fijo;Infraestructura; 1.640.740 
370;04-08-2025;TEC005;Administración;Servicios; 4.691.412 
371;07-08-2025;MKT003;Personal;Bonos; 2.086.897 
372;16-08-2025;MKT005;Activo Fijo;Infraestructura; 3.118.956 
373;02-01-2025;TEC004;Personal;Sueldos; 2.991.336 
374;10-08-2025;TEC005;Activo Fijo;Infraestructura; 4.035.049 
375;02-07-2025;OPE002;Administración;Arriendos; 4.813.938 
376;11-10-2025;OPE001;Personal;Sueldos; 1.430.596 
377;02-01-2025;OPE005;Personal;Bonos; 4.152.715 
378;28-10-2025;INM003;Personal;Sueldos; 4.459.044 
379;17-10-2025;MKT003;Activo Fijo;Infraestructura; 4.261.264 
380;05-06-2025;INM003;Activo Fijo;Equipos; 406.904 
381;11-12-2025;OPE001;Administración;Servicios; 2.077.619 
382;27-09-2025;TEC003;Activo Fijo;Infraestructura; 4.123.235 
383;24-04-2025;MKT001;Activo Fijo;Infraestructura; 1.722.294 
384;23-03-2025;TEC005;Personal;Bonos; 717.976 
385;19-01-2025;TEC004;Personal;Bonos; 2.342.222 
386;07-09-2025;TEC004;Administración;Arriendos; 498.622 
387;28-04-2025;INM002;Activo Fijo;Equipos; 1.260.440 
388;17-10-2025;MKT002;Personal;Sueldos; 870.968 
389;08-10-2025;INM002;Personal;Bonos; 2.651.246 
390;28-03-2025;OPE001;Administración;Servicios; 4.308.323 
391;06-09-2025;MKT003;Personal;Sueldos; 2.736.700 
392;24-02-2025;MKT001;Administración;Arriendos; 4.260.797 
393;05-08-2025;OPE003;Administración;Arriendos; 2.843.512 
394;15-09-2025;OPE002;Administración;Servicios; 485.598 
395;21-10-2025;INM005;Activo Fijo;Infraestructura; 1.616.432 
396;11-11-2025;OPE001;Activo Fijo;Infraestructura; 1.006.579 
397;20-06-2025;INM003;Personal;Bonos; 2.485.186 
398;15-09-2025;INM003;Personal;Bonos; 2.932.224 
399;03-10-2025;MKT004;Administración;Servicios; 2.876.381 
400;24-01-2025;OPE004;Administración;Servicios; 2.145.879 
401;27-09-2025;TEC001;Personal;Sueldos; 3.172.098 
402;20-03-2025;TEC001;Personal;Sueldos; 3.104.603 
403;05-02-2025;INM001;Personal;Sueldos; 2.944.655 
404;13-01-2025;OPE005;Activo Fijo;Equipos; 2.239.781 
405;05-05-2025;OPE001;Personal;Sueldos; 2.056.201 
406;21-07-2025;INM003;Personal;Bonos; 1.966.594 
407;07-01-2025;INM001;Personal;Sueldos; 1.144.179 
408;17-10-2025;OPE001;Activo Fijo;Infraestructura; 3.733.304 
409;03-08-2025;TEC002;Activo Fijo;Infraestructura; 2.024.589 
410;21-06-2025;OPE005;Administración;Servicios; 4.469.754 
411;10-08-2025;INM001;Activo Fijo;Equipos; 274.025 
412;01-11-2025;MKT004;Personal;Sueldos; 2.882.857 
413;17-09-2025;MKT002;Personal;Bonos; 834.236 
414;10-11-2025;TEC001;Administración;Arriendos; 4.202.760 
415;11-12-2025;OPE001;Activo Fijo;Infraestructura; 4.906.361 
416;04-10-2025;INM003;Activo Fijo;Infraestructura; 1.858.328 
417;18-07-2025;OPE003;Activo Fijo;Infraestructura; 3.235.462 
418;07-07-2025;OPE002;Personal;Sueldos; 1.336.679 
419;18-10-2025;TEC003;Administración;Servicios; 1.170.683 
420;01-09-2025;MKT002;Personal;Bonos; 2.636.638 
421;06-12-2025;TEC004;Personal;Sueldos; 4.915.298 
422;27-05-2025;MKT002;Administración;Arriendos; 273.607 
423;17-07-2025;MKT001;Activo Fijo;Equipos; 1.708.862 
424;22-02-2025;INM001;Personal;Bonos; 2.861.941 
425;04-05-2025;OPE004;Activo Fijo;Infraestructura; 3.876.604 
426;07-10-2025;TEC001;Administración;Servicios; 2.605.362 
427;17-04-2025;TEC005;Administración;Arriendos; 110.614 
428;09-12-2025;INM005;Administración;Servicios; 1.554.197 
